017
num-fields|53
id|int32
image_x|int32
image_y|int32
image_w|int32
image_h|int32
src_x|int32
src_y|int32
src_image|int32
cal_image|int32
ppc|int32
camera|int32
cal_const|double
fringe_size|double
sphere_count|int32
raw_sphere_volume|double
raw_sphere_complement|double
raw_sphere_unknown|double
raw_area|double
raw_feret_max|double
raw_feret_min|double
raw_feret_mean|double
raw_perimeter|double
raw_convex_perimeter|double
raw_legendre_major|double
raw_legendre_minor|double
abd_area|double
abd_diameter|double
length|double
width|double
esd_diameter|double
fd_diameter|double
perimeter|double
convex_perimeter|double
intensity|double
sigma_intensity|double
sum_intensity|double
compactness|double
elongation|double
roughness|double
edge_gradient|double
elapsed_time|double
circle_fit|double
symmetry|double
circularity_hu|double
intensity_calimage|double
raw_convex_hull_area|double
raw_filled_area|double
filled_area|double
feret_max_angle|double
feret_min_angle|double
timestamp|timestamp
collage_file|string
image_id|guid
1|0|0|22|34|643|1770|32|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|395.0000|31.0000|18.0000|24.3056|76.1838|73.1984|28.6846|17.6730|21843.6826|166.7700|246.5348|125.5932|184.2550|166.7700|708.7528|639.1147|29.8532|18.3985|11792.0000|1.1693|1.0000|1.1090|180.5231|3.7040|0.6766|0.8440|0.8861|0.0000|373.0000|395.0000|21843.6826|-80.0000|0.0000|2021-10-21T03:26:21.089|294-032502 st2 4 juni 2021 50 m halv_000001.tif|10AE01CB-61F2-4289-82ED-36CDA8FB0E3D
2|24|0|53|82|634|1667|32|1|2|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|1426.0000|78.0000|43.0000|62.4444|302.4924|193.0487|81.3680|34.1351|98727.8879|354.5480|683.7852|358.1732|539.0688|354.5480|2814.1475|1754.1061|32.8766|21.6384|46882.0000|5.1062|13.9701|1.6043|137.5637|3.7040|0.0438|0.0916|0.4664|0.0000|2262.0000|1426.0000|98727.8879|70.0000|-20.0000|2021-10-21T03:26:21.089|294-032502 st2 4 juni 2021 50 m halv_000001.tif|FC0CC39B-284C-4481-BAD3-1BCA4554BFC5
3|79|0|60|57|638|1555|32|1|3|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|454.0000|71.0000|42.0000|56.9167|261.1371|175.8902|81.8616|36.7647|25961.1010|181.8095|618.6628|348.8700|487.6427|181.8095|2429.4105|1594.4771|68.8370|19.2140|31252.0000|11.9528|35.5228|1.5236|108.5263|3.7040|0.1179|0.4790|0.1436|0.0000|1914.0000|454.0000|25961.1010|35.0000|-65.0000|2021-10-21T03:26:21.089|294-032502 st2 4 juni 2021 50 m halv_000001.tif|0D904E1A-FE82-49A7-ACA6-E6919E82C948
4|141|0|87|51|123|1562|32|1|2|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|1126.0000|84.0000|43.0000|66.7222|230.4092|206.6623|72.0005|26.7704|75666.8656|310.3902|739.6044|358.1732|578.8658|310.3902|2143.5425|1880.7559|34.6687|20.5733|39037.0000|3.7519|9.6837|1.1397|127.8060|3.7040|0.0219|0.3417|0.4859|0.0000|2160.0000|1126.0000|75666.8656|10.0000|-80.0000|2021-10-21T03:26:21.089|294-032502 st2 4 juni 2021 50 m halv_000001.tif|B0F54709-B7C5-4F92-8B36-F3CDB221EDC6
5|230|0|45|43|68|1490|32|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|1112.0000|44.0000|34.0000|39.5556|130.8112|121.1136|42.2461|33.7475|74599.6287|308.1934|367.4764|274.4444|326.1288|308.1934|1216.9626|1084.8796|44.2239|17.8853|49177.0000|1.2245|1.0000|1.1217|106.6018|3.7040|0.7940|0.8189|0.9686|0.0000|1120.0000|1112.0000|74599.6287|20.0000|-60.0000|2021-10-21T03:26:21.089|294-032502 st2 4 juni 2021 50 m halv_000001.tif|848B3D99-892E-4235-BFB6-E014F3196D01
6|277|0|69|67|800|1478|32|1|2|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|1784.0000|69.0000|57.0000|62.9444|292.3087|194.7517|63.5646|47.4155|126623.4193|401.5245|600.0564|488.4180|543.7204|401.5245|2719.4059|1769.9496|39.7293|26.6200|70877.0000|3.8113|9.8724|1.5364|131.5385|3.7040|0.2654|0.1811|0.7224|0.0000|2751.0000|1784.0000|126623.4193|-65.0000|55.0000|2021-10-21T03:26:21.089|294-032502 st2 4 juni 2021 50 m halv_000001.tif|604995F7-8995-426A-BB9B-4CCC29E07FEB
7|348|0|51|132|471|1422|32|1|2|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|1090.0000|127.0000|40.0000|89.4167|312.5929|277.7411|85.8991|28.4114|72924.3921|304.7133|1139.6420|330.2636|789.9967|304.7133|2908.1145|2542.0170|38.2220|23.7678|41662.0000|7.1338|20.3624|1.1440|118.9081|3.7040|0.0000|0.3130|0.3391|0.0000|3255.5000|1090.0000|72924.3921|-90.0000|-10.0000|2021-10-21T03:26:21.089|294-032502 st2 4 juni 2021 50 m halv_000001.tif|B26FA54F-17F6-474C-8080-7AC38A9FCF46
8|401|0|154|193|262|1393|32|1|15|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|3054.0000|180.0000|130.0000|160.7222|1359.1413|501.5902|159.4589|100.1011|227549.4666|538.2611|1632.7116|1167.5516|1453.3666|554.5583|12644.3630|4624.5295|63.0390|20.0349|192521.0000|45.5392|141.0587|2.7342|110.8103|3.7040|0.0000|0.1659|0.2319|0.0000|14674.0000|3228.0000|241537.3704|-55.0000|5.0000|2021-10-21T03:26:21.089|294-032502 st2 4 juni 2021 50 m halv_000001.tif|4646668E-4AB4-4228-91F6-6CFB6C60BFBB
9|557|0|140|158|409|1146|32|1|3|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|4308.0000|175.0000|119.0000|148.7500|673.5118|464.8062|147.4774|61.7393|328922.3096|647.1452|1586.1956|1065.2164|1341.9866|648.3437|6265.8146|4282.3205|33.5536|24.4008|144549.0000|8.3502|24.1915|1.4632|158.0797|3.7040|0.0000|0.1634|0.4307|0.0000|12232.5000|4323.0000|330141.7395|-60.0000|25.0000|2021-10-21T03:26:21.089|294-032502 st2 4 juni 2021 50 m halv_000001.tif|86108E76-A24D-495A-A035-35BD492F3008
10|699|0|62|49|599|1007|32|1|1|0|9.3032|4.5000|0|0.0000|0.0000|0.0000|1635.0000|61.0000|42.0000|52.4444|189.6812|161.5418|59.0959|37.0690|114971.7017|382.6049|525.6308|348.8700|446.0368|382.6049|1764.6425|1460.9915|30.8752|22.1956|50481.0000|1.7511|3.1877|1.2078|135.1341|3.7040|0.5302|0.5566|0.8556|0.0000|1797.5000|1635.0000|114971.7017|15.0000|-80.0000|2021-10-21T03:26:21.089|294-032502 st2 4 juni 2021 50 m halv_000001.tif|2CE52F79-A8AF-419C-A8D4-A6DECC6363D3
