Particle ID,Area (ABD),Area (Filled),Aspect Ratio,Calibration Factor,Calibration Image,Camera,Capture X,Capture Y,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Image File,Image Height,Image Width,Image X,Image Y,Intensity,Length,Original Reference ID,Particles Per Chain,Perimeter,Roughness,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,Volume (ABD),Volume (ESD),Width
1,21843.6826,21843.6826,0.6161,9.3032,1,1,643,1770,0.6766,0.8552,0.8861,1.1693,639.1150,1.0000,2021-10-21,166.7700,184.2555,166.7700,180.5231,3.7040,1.0000,-80.0000,0.0000,0.0000,1.3914,0.0000,1.0000,177.1883,177.1883,294-032502 st2 4 juni 2021 50 m halv_000001.tif,34,22,0,0,29.8532,246.5348,10AE01CB-61F2-4289-82ED-36CDA8FB0E3D,1,708.7531,1.1090,18.3985,32,0.0000,0,0.0000,0.0000,11792.0000,0.8440,05:26:21,2021-10-21T05:26:21.089,0.0949,2.428581e+06,3.275365e+06,125.5932
2,98727.8879,98727.8879,0.4195,9.3032,1,1,634,1667,0.0438,0.1958,0.4664,5.1062,1754.1063,0.6304,2021-10-21,354.5480,539.0683,354.5480,137.5637,3.7040,13.9701,70.0000,-20.0000,0.9203,0.5207,0.0000,0.0716,1313.0813,93.9924,294-032502 st2 4 juni 2021 50 m halv_000001.tif,82,53,24,0,32.8766,683.7852,FC0CC39B-284C-4481-BAD3-1BCA4554BFC5,2,2814.1473,1.6043,21.6384,32,0.0000,0,0.0000,0.0000,46882.0000,0.0916,05:26:21,2021-10-21T05:26:21.089,0.3423,2.333585e+07,8.202195e+07,358.1732
3,25961.1010,25961.1010,0.4491,9.3032,1,1,638,1555,0.1179,0.0837,0.1436,11.9528,1594.4773,0.2372,2021-10-21,181.8095,487.6430,181.8095,108.5263,3.7040,35.5228,35.0000,-65.0000,0.9097,0.5236,0.0000,0.0282,1181.4465,33.2588,294-032502 st2 4 juni 2021 50 m halv_000001.tif,57,60,79,0,68.8370,618.6628,0D904E1A-FE82-49A7-ACA6-E6919E82C948,3,2429.4107,1.5236,19.2140,32,0.0000,0,0.0000,0.0000,31252.0000,0.4790,05:26:21,2021-10-21T05:26:21.089,0.6272,3.146650e+06,6.071622e+07,348.8700
4,75666.8656,75666.8656,0.3718,9.3032,1,1,123,1562,0.0219,0.2665,0.4859,3.7519,1880.7563,0.5213,2021-10-21,310.3902,578.8656,310.3902,127.8060,3.7040,9.6837,10.0000,-80.0000,0.3135,0.7613,0.0000,0.1033,971.4529,100.3186,294-032502 st2 4 juni 2021 50 m halv_000001.tif,51,87,141,0,34.6687,739.6044,B0F54709-B7C5-4F92-8B36-F3CDB221EDC6,2,2143.5429,1.1397,20.5733,32,0.0000,0,0.0000,0.0000,39037.0000,0.3417,05:26:21,2021-10-21T05:26:21.089,0.4638,1.565750e+07,1.015621e+08,358.1732
5,74599.6287,74599.6287,0.7988,9.3032,1,1,68,1490,0.7940,0.8166,0.9686,1.2245,1084.8796,0.9929,2021-10-21,308.1934,326.1293,308.1934,106.6018,3.7040,1.0000,20.0000,-60.0000,0.0000,1.2078,0.0000,1.0000,304.2407,304.2407,294-032502 st2 4 juni 2021 50 m halv_000001.tif,43,45,230,0,44.2239,367.4764,848B3D99-892E-4235-BFB6-E014F3196D01,1,1216.9628,1.1217,17.8853,32,0.0000,0,0.0000,0.0000,49177.0000,0.8189,05:26:21,2021-10-21T05:26:21.089,0.0550,1.532741e+07,1.816218e+07,274.4444
6,126623.4193,126623.4193,0.7459,9.3032,1,1,800,1478,0.2654,0.2624,0.7224,3.8113,1769.9496,0.6485,2021-10-21,401.5245,543.7199,401.5245,131.5385,3.7040,9.8724,-65.0000,55.0000,1.0575,0.4860,0.0000,0.1013,1234.6432,125.0599,294-032502 st2 4 juni 2021 50 m halv_000001.tif,67,69,277,0,39.7293,600.0564,604995F7-8995-426A-BB9B-4CCC29E07FEB,2,2719.4063,1.5364,26.6200,32,0.0000,0,0.0000,0.0000,70877.0000,0.1811,05:26:21,2021-10-21T05:26:21.089,0.2615,3.389494e+07,8.416362e+07,488.4180
7,72924.3921,72924.3921,0.3308,9.3032,1,1,471,1422,0.0000,0.1402,0.3391,7.1338,2542.0166,0.3348,2021-10-21,304.7133,789.9970,304.7133,118.9081,3.7040,20.3624,-90.0000,-10.0000,0.2162,0.8223,0.0000,0.0491,1385.9910,68.0661,294-032502 st2 4 juni 2021 50 m halv_000001.tif,132,51,348,0,38.2220,1139.6420,B26FA54F-17F6-474C-8080-7AC38A9FCF46,2,2908.1143,1.1440,23.7678,32,0.0000,0,0.0000,0.0000,41662.0000,0.3130,05:26:21,2021-10-21T05:26:21.089,0.6143,1.481402e+07,2.581517e+08,330.2636
8,227549.4666,241537.3704,0.6278,9.3032,1,1,262,1393,0.0000,0.0220,0.2319,45.5392,4624.5295,0.2200,2021-10-21,538.2611,1453.3664,554.5583,110.8103,3.7040,141.0587,-55.0000,5.0000,2.8449,0.2601,0.0000,0.0071,6277.6777,44.5040,294-032502 st2 4 juni 2021 50 m halv_000001.tif,193,154,401,0,63.0390,1632.7116,4646668E-4AB4-4228-91F6-6CFB6C60BFBB,15,12644.3633,2.7342,20.0349,32,0.0000,0,0.0000,0.0000,192521.0000,0.1659,05:26:21,2021-10-21T05:26:21.089,0.6296,8.165401e+07,1.607400e+09,1167.5516
9,328922.3096,330141.7395,0.4186,9.3032,1,1,409,1146,0.0000,0.1198,0.4307,8.3502,4282.3206,0.3534,2021-10-21,647.1452,1341.9866,648.3437,158.0797,3.7040,24.1915,-60.0000,25.0000,0.8967,0.5272,0.0000,0.0413,3008.5438,124.3637,294-032502 st2 4 juni 2021 50 m halv_000001.tif,158,140,557,0,33.5536,1586.1956,86108E76-A24D-495A-A035-35BD492F3008,3,6265.8150,1.4632,24.4008,32,0.0000,0,0.0000,0.0000,144549.0000,0.1634,05:26:21,2021-10-21T05:26:21.089,0.5178,1.419070e+08,1.265445e+09,1065.2164
10,114971.7017,114971.7017,0.6273,9.3032,1,1,599,1007,0.5302,0.5711,0.8556,1.7511,1460.9913,0.9096,2021-10-21,382.6049,446.0363,382.6049,135.1341,3.7040,3.1877,15.0000,-80.0000,0.2778,0.7826,0.0000,0.3137,671.6256,210.6955,294-032502 st2 4 juni 2021 50 m halv_000001.tif,49,62,699,0,30.8752,525.6308,2CE52F79-A8AF-419C-A8D4-A6DECC6363D3,1,1764.6421,1.2078,22.1956,32,0.0000,0,0.0000,0.0000,50481.0000,0.5566,05:26:21,2021-10-21T05:26:21.089,0.1422,2.932583e+07,4.646323e+07,348.8700
